time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:41:15.804Z,2452,6283,22893,3571,8491,28013,6195,8105,34263,4333,7732,31064,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:15.844Z,2454,6273,22887,3577,8481,28006,6225,8100,34234,4335,7729,31051,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:15.884Z,2446,6259,22879,3571,8470,27999,5976,8100,34228,4343,7730,31048,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:15.924Z,2434,6246,22871,3559,8458,27991,5704,8111,34240,4348,7738,31053,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:15.964Z,2427,6243,22864,3552,8451,27983,5530,8124,34257,4342,7748,31057,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.004Z,2429,6248,22858,3553,8453,27980,5439,8126,34273,4334,7750,31058,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.044Z,2435,6254,22854,3556,8459,27981,5405,8120,34282,4331,7746,31058,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.084Z,2436,6257,22854,3555,8465,27982,5390,8110,34284,4332,7740,31062,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.124Z,2429,6260,22857,3548,8468,27981,5370,8099,34281,4332,7734,31067,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.164Z,2422,6263,22867,3543,8469,27983,5360,8094,34271,4333,7733,31067,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.204Z,2421,6261,22876,3542,8464,27984,5368,8106,34247,4337,7740,31058,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.244Z,2421,6258,22877,3542,8457,27982,5374,8124,34219,4337,7750,31047,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.284Z,2417,6259,22874,3538,8458,27983,5369,8131,34207,4332,7754,31044,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.324Z,2414,6262,22881,3532,8466,27995,5359,8125,34220,4324,7748,31050,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.364Z,2416,6258,22893,3532,8472,28008,5354,8117,34244,4318,7740,31059,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.404Z,2419,6250,22893,3536,8470,28009,5367,8110,34264,4319,7732,31062,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.444Z,2418,6237,22878,3539,8464,28002,5415,8107,34279,4328,7726,31063,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.484Z,2417,6220,22859,3541,8462,27997,5497,8113,34287,4345,7727,31064,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.524Z,2418,6212,22849,3544,8466,27996,5566,8118,34279,4355,7733,31062,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.564Z,2419,6225,22852,3545,8467,27998,5579,8113,34260,4351,7734,31056,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.604Z,2419,6244,22858,3545,8465,28000,5552,8102,34239,4342,7730,31047,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.644Z,2421,6251,22861,3547,8462,28000,5501,8091,34227,4337,7723,31041,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.684Z,2429,6250,22862,3553,8460,27996,5442,8087,34225,4336,7721,31041,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.724Z,2439,6248,22862,3561,8459,27991,5408,8097,34221,4336,7729,31044,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.764Z,2444,6242,22856,3566,8456,27979,5405,8115,34216,4338,7742,31044,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.804Z,2443,6237,22848,3565,8453,27966,5421,8133,34225,4345,7753,31047,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.844Z,2441,6240,22852,3562,8458,27965,5435,8140,34252,4352,7759,31054,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.884Z,2440,6251,22872,3562,8471,27980,5429,8134,34276,4350,7756,31061,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.924Z,2442,6262,22896,3567,8482,28000,5409,8123,34279,4338,7748,31061,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:16.964Z,2444,6265,22905,3570,8482,28009,5398,8121,34270,4327,7744,31058,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.004Z,2442,6258,22896,3565,8469,28007,5407,8133,34263,4330,7745,31055,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.044Z,2437,6244,22883,3555,8451,28001,5425,8138,34257,4342,7746,31051,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.084Z,2435,6232,22873,3549,8440,27995,5435,8124,34257,4349,7741,31052,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.124Z,2434,6231,22869,3548,8443,27990,5437,8102,34257,4349,7733,31053,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.164Z,2430,6243,22874,3547,8456,27988,5432,8088,34251,4344,7727,31053,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.204Z,2421,6252,22878,3544,8468,27986,5420,8088,34238,4337,7726,31049,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.244Z,2413,6249,22878,3540,8468,27983,5403,8105,34221,4338,7730,31042,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.284Z,2414,6239,22877,3538,8459,27985,5383,8145,34207,4351,7739,31033,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.324Z,2419,6230,22882,3539,8447,27994,5370,8203,34204,4367,7749,31031,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.364Z,2420,6229,22890,3538,8444,28003,5372,8231,34209,4366,7752,31035,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.404Z,2418,6240,22895,3536,8451,28009,5383,8198,34219,4347,7741,31040,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.444Z,2421,6254,22895,3541,8460,28009,5388,8144,34232,4328,7728,31044,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.484Z,2429,6257,22892,3551,8461,28003,5388,8132,34246,4321,7727,31050,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.524Z,2438,6247,22885,3559,8454,27995,5392,8209,34256,4324,7745,31058,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.564Z,2451,6241,22877,3566,8450,27990,5398,8368,34258,4328,7780,31058,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.604Z,2462,6242,22872,3572,8454,27991,5398,8482,34248,4326,7806,31051,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.644Z,2460,6245,22872,3572,8457,27991,5385,8405,34235,4319,7795,31043,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.684Z,2448,6248,22875,3565,8458,27990,5370,8153,34230,4314,7747,31043,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.724Z,2431,6252,22875,3554,8462,27989,5373,7827,34230,4319,7685,31046,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.764Z,2420,6258,22868,3545,8465,27987,5393,7324,34229,4331,7600,31044,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.804Z,2419,6259,22858,3543,8465,27983,5410,6378,34231,4341,7452,31040,Day_2,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:41:17.844Z,2422,6255,22855,3544,8463,27981,5416,5422,34234,4343,7303,31038,Day_2,Fair,Intermediate,5mm,Experiment_2
